INN_Name,BrandName,Phase,Applicants,Links,LigID,pdbID,Type,RoF,MW,LogP,TPSA,HBA,HBD,NRB,Indications,Targets,Kinase families,Canonical_Smiles_InChiKey,First_Approval,SC_Patent,Chirality,Synonyms,FDA approved,Melting points (°C)
Abemaciclib,Verzenio,4,Eli Lilly,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'6ZV',5l2s,1,1,506.3,4.9,75,8,1,7,"On September 28, 2017, the Food and Drug Administration approved abemaciclib (VERZENIO, Eli Lilly and Company) in combination with fulvestrant for women with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. In addition, abemaciclib was approved as monotherapy for women and men with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting.","CDK4
CDK6",CMGC,"Smiles=CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F
InChiKey=UZWDCWONPYILKI-UHFFFAOYSA-N",2017,US-7855211-B2,Achiral Molecule,"Verzenio
Abemaciclib
LY-2835219",Y,
Abivertinib,nan,3,ACEA Biosciences,"ChemSpider
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,487.2,4.5,98.4,7,3,7,"AC0010 is an orally active, irreversible EGFR inhibitor that selectively targets mutated EGFRs, and was designed to overcome T790M-induced resistance in tumours [2]. It may also inhibit BTK, thus offering extended clinical utility [3]. We show the structure for the free base form of the compound.",nan,,"Smiles=CN1CCN(CC1)c2ccc(cc2F)Nc3nc4c(cc[nH]4)c(n3)Oc5cccc(c5)NC(=O)C=C
InChiKey=UOFYSRZSLXWIQB-UHFFFAOYSA-N",nan,nan,nan,"AC0010
Avitinib",,
Acalabrutinib,Calquence,4,Astrazeneca,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,465.2,3.3,118.5,7,2,4,Acalabrutinib is currently indicated for the treatment of adult patients with Mantle Cell Lymphoma (MCL) who have received at least one prior therapy,BTK,Tyr,"Smiles=CC#CC(=O)N1CCC[C@H]1c2nc(c3n2ccnc3N)c4ccc(cc4)C(=O)Nc5ccccn5
InChiKey=WDENQIQQYWYTPO-IBGZPJMESA-N",2017,US-9290504-B2,Single Stereoisomer,"Calquence
ACP-196
Acalabrutinib",Y,
Acalisib,nan,2,Gilead Sciences,"ChemSpider
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,401.1,3.4,101.4,7,2,4,nan,PIK3CA,Atypical,"Smiles=C[C@@H](c1nc2ccc(cc2c(=O)n1c3ccccc3)F)Nc4c5c(nc[nH]5)ncn4
InChiKey=DOCINCLJNAXZQF-LBPRGKRZSA-N",nan,nan,Single Stereoisomer,CAL-120,,
Acumapimod,nan,2,Mereo BioPharma,"ChemSpider
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,385.2,2.8,113.8,6,2,5,nan,"MAPK14
MAPK11
MAPK13
MAPK12",CMGC,"Smiles=Cc1ccc(cc1n2c(c(cn2)C(=O)c3cccc(c3)C#N)N)C(=O)NC4CC4
InChiKey=VGUSQKZDZHAAEE-UHFFFAOYSA-N",nan,nan,Single Stereoisomer,,,
Adavosertib,nan,2,Astrazeneca,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS",'8X7',5v5y 5vd0 5vdk,1,1,500.3,2.9,104.3,10,2,7,nan,WEE1,Other,"Smiles=CC(C)(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(cc4)N5CCN(CC5)C)c(=O)n2CC=C)O
InChiKey=BKWJAKQVGHWELA-UHFFFAOYSA-N",nan,nan,nan,"AZD-1775
MK-1775",,
Afatinib,Gilotrif,4,Boehringer Ingelheim,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'0WM',4g5j,1,0,485.2,4.4,88.6,7,2,8,Afatinib is a kinase inhibitor indicated for the first-line treatment of patient with metastatic non-small cell lung cancer (NSCLC) whose tumours have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.,"EGFR
ERBB2
ERBB4",Tyr,"Smiles=CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F
InChiKey=ULXXDDBFHOBEHA-CWDCEQMOSA-N",2013,US-6251912-B1,Single Stereoisomer,"Giotrif;Gilotrif
Afatinib
BIBW-2992",Y,
Afuresertib,nan,2,GlaxoSmithKline,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,426,3.9,72.9,5,2,6,nan,"AKT1
AKT2
AKT3",AGC,"Smiles=Cn1c(c(cn1)Cl)c2cc(sc2Cl)C(=O)N[C@@H](Cc3cccc(c3)F)CN
InChiKey=AFJRDFWMXUECEW-LBPRGKRZSA-N",nan,nan,Single Stereoisomer,"GSK2110183
Afuresertib
GSK2110183C",,
Alectinib,Alecensa,4,Hoffmann-La Roche,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'EMH',3aox 5xv7,1,0,482.3,4.8,72.4,5,1,3,"Alectinib is a kinase inhibitor indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib. This indication is approved under accelerated approval based on tumor response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",ALK,Tyr,"Smiles=CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C
InChiKey=KDGFLJKFZUIJMX-UHFFFAOYSA-N",2015,US-9126931-B2,Achiral Molecule,"Alectinib
CH-5424802
AF-802",Y,
Alisertib,nan,3,Millennium Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'A5B',5ia0,1,2,518.1,5.7,105.9,7,2,6,For the treatment of various forms of cancer.,AURKA,Other,"Smiles=COc1cccc(c1C2=NCc3cnc(nc3-c4c2cc(cc4)Cl)Nc5ccc(c(c5)OC)C(=O)O)F
InChiKey=ZLHFILGSQDJULK-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"MLN-8237
Alisertib",,
