,Kinase,Control_Mean,Relative_Kinase_Activity,Relative_Inhibited_Kinase_Activity,Inhibitor_Mean
28,CDK1,1727881644524.0051,0.05237826196484816,0.05315740110832526,1772613133574.2368
32,CDK2,1291118397527.768,0.03913840850596806,0.03916923750428028,1306156873446.202
43,CK2A1,787498243436.2089,0.02387188348361812,0.023856469199280878,795529686208.2964
8,Akt1,367182644608.9068,0.011130616966284852,0.010647320471029943,355050843547.835
175,p90RSK,290864232901.0851,0.00881713341615742,0.007791740007762136,259827237283.65
124,PKACA,280976907047.0597,0.008517413267294665,0.008734948588282661,291279939685.776
55,ERK1,279016702110.0263,0.008457992456834578,0.009612016788412366,320527092070.48395
81,KIS,240130542632.0,0.007279214121870543,0.007133379016703447,237873204260.0
53,DYRK2,229052501439.69998,0.006943399139712135,0.006452408655214495,215165227925.9
155,SGK1,192550957541.05,0.005836907017115637,0.005174543245705704,172552892472.94
5,ATR,152857142967.43,0.004633645772510008,0.003299718037563859,110034038694.97
118,PAK1,148265055873.07703,0.0044944432168513545,0.005265584176495609,175588788627.497
35,CDK4,140512640202.436,0.004259439818242366,0.004853244845933084,161838716246.1392
56,ERK2,138960729400.25,0.004212395860804316,0.004732146506362202,157800510790.23404
27,CDC7,134510351948.711,0.004077489030386901,0.0043358248093224696,144584570382.21
38,CDK7,118493723603.6454,0.003591967838637356,0.0036553297848741107,121892444873.45999
173,mTOR,105367652663.2803,0.0031940697624221756,0.0019716815731407335,65748674293.789
174,p70S6K,103772463394.678,0.0031457138801433385,0.0019115588988155884,63743793695.56
37,CDK6,103749597703.00002,0.003145020739387713,0.0037155169853490453,123899477192.77
12,AurB,82702352764.61131,0.002507003597116987,0.0028602560768247196,95379521599.12799
115,P38D,78382235633.0,0.002376045422084865,0.002893297618139024,96481341268.0
46,Chk1,62781245084.502,0.001903123695964291,0.0019756845909725536,65882160917.188
36,CDK5,60661834343.050995,0.0018388767891355452,0.0024944593974179077,83181483609.78001
128,PKCD,58661881282.52,0.0017782510711334594,0.001452424070819326,48433255384.46001
126,PKCB,57931684836.67,0.0017561162097280254,0.00220337396506329,73474804020.0
63,GSK3B,57058055929.2309,0.0017296333982930359,0.0018149772509698158,60523134034.550995
69,HIPK2,56426355015.31,0.0017104842881339902,0.0012763110819923726,42560504074.600006
21,CAMK2A,54076062958.0,0.0016392385442707885,0.0022040580140469477,73497614657.6
89,MAPKAPK2,53053435079.1667,0.0016082390420190916,0.0017954096008435463,59870621442.065
