,INN_Name,ChEMBL_ID,Smiles,InCHI key,RoF,MW,LogP,TPSA,HBA,HBD,NRB,image_link,Targets
0,Leniolisib,CHEMBL3643413,Smiles=CCC(=O)N1CC[C@@H](C1)Nc2c3c(ncn2)CCN(C3)c4cc(c(nc4)OC)C(F)(F)F,InChiKey=MWKYMZXCGYXLPL-ZDUSSCGKSA-N,0,450.2,2.9,83.5,7,1,5,http://www.icoa.fr/pkidb/static/img/mol/Leniolisib.svg,
1,Nemiralisib,CHEMBL2216859,Smiles=CC(C)N1CCN(CC1)Cc2cnc(o2)c3cc(cc4c3cn[nH]4)c5cccc6c5cc[nH]6,InChiKey=MCIDWGZGWVSZMK-UHFFFAOYSA-N,0,440.2,4.9,77.0,5,2,5,http://www.icoa.fr/pkidb/static/img/mol/Nemiralisib.svg,
2,Oclacitinib,CHEMBL2103874,Smiles=CNS(=O)(=O)C[C@H]1CC[C@@H](CC1)N(c2ncnc3c2cc[nH]3)C,InChiKey=HJWLJNBZVZDLAQ-HAQNSBGRSA-N,0,337.2,1.5,91.0,5,2,5,http://www.icoa.fr/pkidb/static/img/mol/Oclacitinib.svg,"JAK1,JAK2,JAK3"
3,Toceranib,CHEMBL13608,Smiles=Cc1c([nH]c(c1C(=O)NCCN2CCCC2)C)/C=C\3/c4cc(ccc4NC3=O)F,InChiKey=SRSGVKWWVXWSJT-ATVHPVEESA-N,0,396.2,3.1,77.2,3,3,5,http://www.icoa.fr/pkidb/static/img/mol/Toceranib.svg,KIT
4,Dezapelisib,CHEMBL2216863,Smiles=Cc1csc2n1c(=O)c(c(n2)[C@H](C)Nc3c4c([nH]cn4)ncn3)c5cccc(c5)F,InChiKey=RSIWALKZYXPAGW-NSHDSACASA-N,0,421.1,3.7,100.9,8,2,4,http://www.icoa.fr/pkidb/static/img/mol/Dezapelisib.svg,
5,Mavelertinib,CHEMBL3989970,Smiles=Cn1cc(c(n1)OC)Nc2c3c(nc(n2)N4C[C@H]([C@@H](C4)F)NC(=O)C=C)n(cn3)C,InChiKey=JYIUNVOCEFIUIU-GHMZBOCLSA-N,0,415.2,0.7,115.0,10,2,6,http://www.icoa.fr/pkidb/static/img/mol/Mavelertinib.svg,
6,Selatinib,CHEMBL3040548,Smiles=CS(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F,InChiKey=OAMVGUFHZPRXOM-UHFFFAOYSA-N,2,564.1,6.5,89.3,7,2,11,http://www.icoa.fr/pkidb/static/img/mol/Selatinib.svg,"EGFR,ERBB2"
7,Rivoceranib,CHEMBL3545414,Smiles=CS(=O)(=O)O.c1cc(c(nc1)NCc2ccncc2)C(=O)Nc3ccc(cc3)C4(CCCC4)C#N,InChiKey=FYJROXRIVQPKRY-UHFFFAOYSA-N,0,493.2,4.2,145.1,7,3,6,http://www.icoa.fr/pkidb/static/img/mol/Rivoceranib.svg,
8,Recilisib,CHEMBL2219421,Smiles=c1cc(ccc1CS(=O)(=O)/C=C/c2ccc(cc2)C(=O)O)Cl,InChiKey=KBEKQQJUNVQLDZ-MDZDMXLPSA-N,0,336.0,3.6,71.4,3,1,5,http://www.icoa.fr/pkidb/static/img/mol/Recilisib.svg,
9,Altiratinib,CHEMBL3545365,Smiles=c1cc(ccc1NC(=O)C2(CC2)C(=O)Nc3cc(c(cc3F)Oc4ccnc(c4)NC(=O)C5CC5)F)F,InChiKey=GNNDEPIMDAZHRQ-UHFFFAOYSA-N,1,510.2,5.0,109.4,5,3,8,http://www.icoa.fr/pkidb/static/img/mol/Altiratinib.svg,"MET,TEK,KDR,NTRK1"
10,Balamapimod,CHEMBL2104954,Smiles=Cn1ccnc1Sc2ccc(cc2Cl)Nc3c4cc(c(cc4ncc3C#N)N5CCC(CC5)N6CCCC6)OC,InChiKey=CVAKNHIXTWLGJO-UHFFFAOYSA-N,2,573.2,6.5,82.2,9,1,7,http://www.icoa.fr/pkidb/static/img/mol/Balamapimod.svg,"RAF1,MAP2K1,MAP2K2"
11,Allitinib,CHEMBL1947204,Smiles=C=CC(=O)Nc1ccc2c(c1)c(ncn2)Nc3ccc(c(c3)Cl)OCc4cccc(c4)F,InChiKey=MVZGYPSXNDCANY-UHFFFAOYSA-N,1,448.1,5.9,76.1,5,2,7,http://www.icoa.fr/pkidb/static/img/mol/Allitinib.svg,"ERBB2,EGFR"
12,Ravoxertinib,CHEMBL3544964,Smiles=Cn1c(ccn1)Nc2nccc(n2)c3ccn(c(=O)c3)[C@H](CO)c4ccc(c(c4)F)Cl,InChiKey=RZUOCXOYPYGSKL-GOSISDBHSA-N,0,440.1,3.2,97.9,8,2,6,http://www.icoa.fr/pkidb/static/img/mol/Ravoxertinib.svg,
13,Pexmetinib,CHEMBL3991932,Smiles=Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)NCc3cc(ccc3Oc4ccc5c(c4)cnn5CCO)F,InChiKey=LNMRSSIMGCDUTP-UHFFFAOYSA-N,2,556.3,6.1,106.2,7,3,8,http://www.icoa.fr/pkidb/static/img/mol/Pexmetinib.svg,"MAPK14,TEK"
14,Henatinib,CHEMBL1277072,Smiles=Cc1c([nH]c2c1C(=O)N(CCC2)C[C@@H](CN3CCOCC3)O)/C=C\4/c5cc(ccc5NC4=O)F,InChiKey=MCTXSDCWFQAGFS-UEXNTNOUSA-N,0,468.2,2.0,97.9,5,3,5,http://www.icoa.fr/pkidb/static/img/mol/Henatinib.svg,KDR
15,Cenisertib,CHEMBL1614709,Smiles=Cc1cc(ccc1N2CCN(CC2)C)Nc3ncc(c(n3)N[C@@H]4[C@@H]5C[C@H]([C@@H]4C(=O)N)C=C5)F,InChiKey=KSOVGRCOLZZTPF-QMKUDKLTSA-N,0,451.2,2.5,99.4,7,3,6,http://www.icoa.fr/pkidb/static/img/mol/Cenisertib.svg,"AURKA,AURKB,AURKC"
16,Mubritinib,CHEMBL1614707,Smiles=c1cc(ccc1CCCCn2ccnn2)OCc3coc(n3)/C=C/c4ccc(cc4)C(F)(F)F,InChiKey=ZTFBIUXIQYRUNT-MDWZMJQESA-N,1,468.2,6.1,66.0,6,0,10,http://www.icoa.fr/pkidb/static/img/mol/Mubritinib.svg,"EGFR,ERBB2"
17,Tafetinib,CHEMBL2180602,Smiles=CCN(CC)CCNC(=O)c1c([nH]c\2c1CCC/C2=C/3\c4cc(ccc4NC3=O)F)C,InChiKey=KGSRYTUWXUESJK-FXBPSFAMSA-N,0,424.2,3.7,77.2,3,3,6,http://www.icoa.fr/pkidb/static/img/mol/Tafetinib.svg,"KDR,FLT4,FLT1"
